domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool
WBC,Roberts Focus Measure,gradient,noise_level,0.04998750555326666,0.11304481300546815,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,steep_to_gradual_slope_ratio,0.7386049412922135,0.058389819579326194,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,execution_time_per_slice,8.2051e-05,0.00669966206761974,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Roberts Focus Measure,gradient,steep_slope_width,7.8689714041826715,0.8914781330026854,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,curvature_at_peak,0.3088146012285845,0.01584183761336152,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Roberts Focus Measure,gradient,rrmse_under_additive_noise,0.09900116624804563,0.10632481321356976,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,absolute_peak_localization_error,0.17138090249485896,0.030042816365366317,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,range_around_global_maximum,1.3283280952935241,0.004344645066885846,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,false_maxima_count,0.4457377876071858,0.6248941574936494,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,fwhm,4.91483335273348,0.1208693238685585,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,noise_level,0.05998655364037715,0.14145809882116558,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,steep_to_gradual_slope_ratio,0.701353194763832,0.07221172139742449,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,execution_time_per_slice,0.00025380000000000004,0.024441706018766496,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Wavelet W1,wavelet,steep_slope_width,7.423156015985722,0.8198862255674703,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,curvature_at_peak,0.3150329910228184,0.013718848633059836,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W1,wavelet,rrmse_under_additive_noise,0.1266835252103095,0.13720227302794807,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,absolute_peak_localization_error,0.17138090249485896,0.030042816365366317,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,range_around_global_maximum,1.3283280952935241,0.004344645066885846,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,false_maxima_count,0.4457377876071858,0.6248941574936494,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,fwhm,4.91483335273348,0.1208693238685585,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,noise_level,0.05998655364037715,0.14145809882116558,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,steep_to_gradual_slope_ratio,0.701353194763832,0.07221172139742449,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,execution_time_per_slice,0.000344524,0.03381369185521293,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Wavelet W2,wavelet,steep_slope_width,7.423156015985722,0.8198862255674703,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,curvature_at_peak,0.3150329910228184,0.013718848633059836,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W2,wavelet,rrmse_under_additive_noise,0.1266835252103095,0.13720227302794807,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,absolute_peak_localization_error,0.17138090249485896,0.030042816365366317,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,range_around_global_maximum,1.3283280952935241,0.004344645066885846,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,false_maxima_count,0.4457377876071858,0.6248941574936494,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,fwhm,4.91483335273348,0.1208693238685585,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,noise_level,0.05998655364037715,0.14145809882116558,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,steep_to_gradual_slope_ratio,0.701353194763832,0.07221172139742449,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,execution_time_per_slice,0.000356071,0.035006521982339674,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Wavelet W3,wavelet,steep_slope_width,7.423156015985722,0.8198862255674703,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,curvature_at_peak,0.3150329910228184,0.013718848633059836,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet W3,wavelet,rrmse_under_additive_noise,0.1266835252103095,0.13720227302794807,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,absolute_peak_localization_error,0.17138090249485896,0.030042816365366317,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,range_around_global_maximum,1.3283668955884065,0.004353677593012452,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,false_maxima_count,0.4457377876071858,0.6248941574936494,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,fwhm,4.9147945524385985,0.1208609132274154,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,noise_level,0.059986545658552194,0.14145807614001915,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,steep_to_gradual_slope_ratio,0.7013531607975519,0.07221173466967594,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,execution_time_per_slice,0.000252801,0.02433850715352014,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,steep_slope_width,7.423156015985722,0.8198862255674703,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,curvature_at_peak,0.3150329751103948,0.013718853958407206,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Wavelet Detail Energy (db1),wavelet,rrmse_under_additive_noise,0.12668353925400103,0.13720228869256398,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,absolute_peak_localization_error,0.17138090249485896,0.030042816365366317,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,range_around_global_maximum,1.3283668955884065,0.004353677593012452,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,false_maxima_count,0.4457377876071858,0.6248941574936494,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,fwhm,4.9147945524385985,0.1208609132274154,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,noise_level,0.059986545658552194,0.14145807614001915,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,steep_to_gradual_slope_ratio,0.7013531607975519,0.07221173466967594,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,execution_time_per_slice,0.000261086,0.025194365610543185,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,steep_slope_width,7.423156015985722,0.8198862255674703,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,curvature_at_peak,0.3150329751103948,0.013718853958407206,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Curvelet Transform Sharpness Index,wavelet_alias,rrmse_under_additive_noise,0.12668353925400103,0.13720228869256398,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,DCT Focus Measure,frequency,absolute_peak_localization_error,0.594459317890816,0.116500158579131,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
