domain,stack_index,stack_id,slice_count,submitted_peak,corrected_peak,absolute_peak_shift,submitted_constant,corrected_constant
WBC,23503,WBC_23503,10,9,9,0,False,False
WBC,23504,WBC_23504,10,8,8,0,False,False
WBC,23505,WBC_23505,10,9,9,0,False,False
WBC,23506,WBC_23506,10,6,6,0,False,False
WBC,23507,WBC_23507,10,5,5,0,False,False
WBC,23508,WBC_23508,10,5,5,0,False,False
WBC,23509,WBC_23509,10,9,9,0,False,False
WBC,23510,WBC_23510,10,9,9,0,False,False
WBC,23511,WBC_23511,10,8,8,0,False,False
WBC,23512,WBC_23512,10,7,7,0,False,False
WBC,23513,WBC_23513,10,9,9,0,False,False
WBC,23514,WBC_23514,10,8,8,0,False,False
WBC,23515,WBC_23515,10,9,9,0,False,False
WBC,23516,WBC_23516,10,9,9,0,False,False
WBC,23517,WBC_23517,10,9,9,0,False,False
WBC,23518,WBC_23518,10,9,9,0,False,False
WBC,23519,WBC_23519,10,7,7,0,False,False
WBC,23520,WBC_23520,10,9,9,0,False,False
WBC,23521,WBC_23521,10,9,9,0,False,False
WBC,23522,WBC_23522,10,5,5,0,False,False
WBC,23523,WBC_23523,10,9,9,0,False,False
WBC,23524,WBC_23524,10,9,9,0,False,False
WBC,23525,WBC_23525,10,6,6,0,False,False
WBC,23526,WBC_23526,10,6,6,0,False,False
WBC,23527,WBC_23527,10,7,7,0,False,False
WBC,23528,WBC_23528,10,7,7,0,False,False
WBC,23529,WBC_23529,10,7,7,0,False,False
WBC,23530,WBC_23530,10,6,6,0,False,False
WBC,23531,WBC_23531,10,7,7,0,False,False
WBC,23532,WBC_23532,10,6,6,0,False,False
WBC,23533,WBC_23533,10,5,5,0,False,False
WBC,23534,WBC_23534,10,9,9,0,False,False
WBC,23535,WBC_23535,10,9,9,0,False,False
WBC,23536,WBC_23536,10,8,8,0,False,False
WBC,23537,WBC_23537,10,9,9,0,False,False
WBC,23538,WBC_23538,10,7,7,0,False,False
WBC,23539,WBC_23539,10,7,7,0,False,False
WBC,23540,WBC_23540,10,6,6,0,False,False
WBC,23541,WBC_23541,10,6,6,0,False,False
WBC,23542,WBC_23542,10,6,6,0,False,False
WBC,23543,WBC_23543,10,6,6,0,False,False
WBC,23544,WBC_23544,10,5,5,0,False,False
WBC,23545,WBC_23545,10,9,9,0,False,False
WBC,23546,WBC_23546,10,8,8,0,False,False
WBC,23547,WBC_23547,10,7,7,0,False,False
WBC,23548,WBC_23548,10,8,8,0,False,False
WBC,23549,WBC_23549,10,9,9,0,False,False
WBC,23550,WBC_23550,10,8,8,0,False,False
WBC,23551,WBC_23551,10,7,7,0,False,False
WBC,23552,WBC_23552,10,9,9,0,False,False
WBC,23553,WBC_23553,10,9,9,0,False,False
WBC,23554,WBC_23554,10,8,8,0,False,False
WBC,23555,WBC_23555,10,7,7,0,False,False
WBC,23556,WBC_23556,10,6,6,0,False,False
WBC,23557,WBC_23557,10,9,9,0,False,False
WBC,23558,WBC_23558,10,6,6,0,False,False
WBC,23559,WBC_23559,10,9,9,0,False,False
WBC,23560,WBC_23560,10,8,8,0,False,False
WBC,23561,WBC_23561,10,6,6,0,False,False
WBC,23562,WBC_23562,10,9,9,0,False,False
WBC,23563,WBC_23563,10,6,6,0,False,False
WBC,23564,WBC_23564,10,5,5,0,False,False
WBC,23565,WBC_23565,10,6,6,0,False,False
WBC,23566,WBC_23566,10,9,9,0,False,False
WBC,23567,WBC_23567,10,6,6,0,False,False
WBC,23568,WBC_23568,10,9,9,0,False,False
WBC,23569,WBC_23569,10,9,9,0,False,False
WBC,23570,WBC_23570,10,6,6,0,False,False
WBC,23571,WBC_23571,10,7,7,0,False,False
WBC,23572,WBC_23572,10,7,7,0,False,False
WBC,23573,WBC_23573,10,8,8,0,False,False
WBC,23574,WBC_23574,10,6,6,0,False,False
WBC,23575,WBC_23575,10,9,9,0,False,False
WBC,23576,WBC_23576,10,9,9,0,False,False
WBC,23577,WBC_23577,10,7,7,0,False,False
WBC,23578,WBC_23578,10,8,8,0,False,False
WBC,23579,WBC_23579,10,8,8,0,False,False
WBC,23580,WBC_23580,10,9,9,0,False,False
WBC,23581,WBC_23581,10,7,7,0,False,False
WBC,23582,WBC_23582,10,9,9,0,False,False
WBC,23583,WBC_23583,10,8,8,0,False,False
WBC,23584,WBC_23584,10,9,9,0,False,False
WBC,23585,WBC_23585,10,9,9,0,False,False
WBC,23586,WBC_23586,10,9,9,0,False,False
WBC,23587,WBC_23587,10,6,6,0,False,False
WBC,23588,WBC_23588,10,9,9,0,False,False
WBC,23589,WBC_23589,10,9,9,0,False,False
WBC,23590,WBC_23590,10,6,6,0,False,False
WBC,23591,WBC_23591,10,9,9,0,False,False
WBC,23592,WBC_23592,10,8,8,0,False,False
WBC,23593,WBC_23593,10,9,9,0,False,False
WBC,23594,WBC_23594,10,9,9,0,False,False
WBC,23595,WBC_23595,10,7,7,0,False,False
WBC,23596,WBC_23596,10,6,6,0,False,False
WBC,23597,WBC_23597,10,9,9,0,False,False
WBC,23598,WBC_23598,10,5,5,0,False,False
WBC,23599,WBC_23599,10,6,6,0,False,False
WBC,23600,WBC_23600,10,8,8,0,False,False
WBC,23601,WBC_23601,10,9,9,0,False,False
WBC,23602,WBC_23602,10,6,6,0,False,False
WBC,23603,WBC_23603,10,9,9,0,False,False
WBC,23604,WBC_23604,10,6,6,0,False,False
WBC,23605,WBC_23605,10,8,8,0,False,False
WBC,23606,WBC_23606,10,9,9,0,False,False
WBC,23607,WBC_23607,10,6,6,0,False,False
WBC,23608,WBC_23608,10,8,8,0,False,False
WBC,23609,WBC_23609,10,7,7,0,False,False
WBC,23610,WBC_23610,10,9,9,0,False,False
WBC,23611,WBC_23611,10,6,6,0,False,False
WBC,23612,WBC_23612,10,9,9,0,False,False
WBC,23613,WBC_23613,10,8,8,0,False,False
WBC,23614,WBC_23614,10,5,5,0,False,False
WBC,23615,WBC_23615,10,9,9,0,False,False
WBC,23616,WBC_23616,10,9,9,0,False,False
WBC,23617,WBC_23617,10,6,6,0,False,False
WBC,23618,WBC_23618,10,7,7,0,False,False
WBC,23619,WBC_23619,10,7,7,0,False,False
WBC,23620,WBC_23620,10,6,6,0,False,False
WBC,23621,WBC_23621,10,6,6,0,False,False
WBC,23622,WBC_23622,10,8,8,0,False,False
WBC,23623,WBC_23623,10,9,9,0,False,False
WBC,23624,WBC_23624,10,7,7,0,False,False
WBC,23625,WBC_23625,10,7,7,0,False,False
WBC,23626,WBC_23626,10,9,9,0,False,False
WBC,23627,WBC_23627,10,9,9,0,False,False
WBC,23628,WBC_23628,10,7,7,0,False,False
WBC,23629,WBC_23629,10,7,7,0,False,False
WBC,23630,WBC_23630,10,5,5,0,False,False
WBC,23631,WBC_23631,10,6,6,0,False,False
WBC,23632,WBC_23632,10,9,9,0,False,False
WBC,23633,WBC_23633,10,9,9,0,False,False
