condition,operator,family,n_stacks,mean_absolute_peak_error_slices,exact_match_rate,within_one_slice_rate,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices
native_cached,Intensity Range Index,statistical,15,1.2666666666666666,0.3333333333333333,0.6,1.3333333333333333,0.16723335980322176,4.533333333333333
native_cached,Maximal Intensity,statistical,15,1.4666666666666666,0.26666666666666666,0.6,1.2,0.22180483298915582,5.133333333333334
native_cached,Laplacian Energy,laplacian,15,3.4,0.3333333333333333,0.4666666666666667,1.6,0.10868467303079259,6.733333333333333
native_cached,Mean Absolute Laplacian,laplacian,15,3.7333333333333334,0.26666666666666666,0.4,1.5333333333333334,0.11564082344265712,6.0
native_cached,Spatial Frequency,gradient,15,1.8,0.6666666666666666,0.7333333333333333,1.0666666666666667,0.08817703759622217,5.4
native_cached,Modified Tenengrad,gradient,15,0.0,1.0,1.0,0.0,0.10591359479230673,3.2
native_cached,Absolute Central Moment 2,statistical,15,1.0,0.6,0.6666666666666666,0.4,0.042714075740601036,5.866666666666666
native_cached,Absolute Central Moment 4,statistical,15,1.0,0.6,0.6666666666666666,0.4,0.06942042897764893,5.6
native_cached,Image Power,statistical,15,2.533333333333333,0.3333333333333333,0.4,1.2,0.14172303525105648,7.466666666666667
aspect_0.5x_nearest,Tenengrad,gradient,15,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04630440002579473,5.2
aspect_0.5x_nearest,Brenner Gradient,gradient,15,0.06666666666666667,0.9333333333333333,1.0,0.0,0.057503299390589006,4.733333333333333
aspect_0.5x_nearest,Variance of Laplacian,laplacian,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.11826509494344013,2.933333333333333
aspect_0.5x_nearest,Sum Modified Laplacian,laplacian,15,0.2,0.8666666666666667,0.9333333333333333,0.0,0.11581188799800826,2.933333333333333
aspect_0.5x_nearest,Normalized Variance,statistical,15,1.0,0.6,0.6666666666666666,0.13333333333333333,0.033743003854794486,6.6
aspect_0.5x_nearest,Energy of Gradient,gradient,15,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04630440002579473,5.2
aspect_0.5x_nearest,Histogram Entropy,entropy,15,3.8,0.2,0.4,0.5333333333333333,0.07358326791888221,6.866666666666666
aspect_0.5x_nearest,GLCM Contrast,texture,15,0.06666666666666667,0.9333333333333333,1.0,0.13333333333333333,0.10701217506843978,3.933333333333333
aspect_0.5x_nearest,Variance of Gradient,gradient,15,0.13333333333333333,0.8666666666666667,1.0,0.0,0.05062451231072842,5.266666666666667
aspect_0.5x_nearest,Fourier Transform Sharpness Index,frequency,15,0.0,1.0,1.0,0.0,0.045950392158300137,4.666666666666667
aspect_0.5x_nearest,Fourier High Frequency Energy Ratio,frequency,15,0.4666666666666667,0.6666666666666666,0.8666666666666667,0.06666666666666667,0.04896075331247488,4.866666666666666
aspect_0.5x_nearest,Roberts Focus Measure,gradient,15,0.06666666666666667,0.9333333333333333,1.0,0.0,0.0698286586294412,4.2
aspect_0.5x_nearest,Wavelet W1,wavelet,15,0.2,0.8,1.0,0.0,0.05399201659325799,4.333333333333333
aspect_0.5x_nearest,Wavelet W2,wavelet,15,0.2,0.8,1.0,0.0,0.05399201659325799,4.333333333333333
aspect_0.5x_nearest,Wavelet W3,wavelet,15,0.2,0.8,1.0,0.0,0.05399201659325799,4.333333333333333
aspect_0.5x_nearest,Wavelet Detail Energy (db1),wavelet,15,0.2,0.8,1.0,0.0,0.053992024205456256,4.333333333333333
aspect_0.5x_nearest,Curvelet Transform Sharpness Index,wavelet_alias,15,0.2,0.8,1.0,0.0,0.053992024205456256,4.333333333333333
aspect_0.5x_nearest,DCT Focus Measure,frequency,15,0.13333333333333333,0.8666666666666667,1.0,0.0,0.05871977921362183,4.666666666666667
aspect_0.5x_nearest,Intensity Skewness Index,statistical,15,6.0,0.0,0.06666666666666667,0.26666666666666666,0.05554853852541223,8.866666666666667
aspect_0.5x_nearest,Squared Gradient,gradient,15,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04630440002579473,5.2
aspect_0.5x_nearest,Gradient Squared Energy,gradient,15,0.13333333333333333,0.9333333333333333,0.9333333333333333,0.0,0.04630440002579473,5.2
