domain,operator,family,reference_tier,n_stacks,mean_absolute_displacement_slices,median_absolute_displacement_slices,p90_absolute_displacement_slices,mean_absolute_displacement_um,median_absolute_displacement_um,p90_absolute_displacement_um,mean_normalized_axial_displacement,exact_match_rate,within_one_slice_rate,units_status
TBI,Brenner Gradient,gradient,REF-B_fixed_ten_diagnostic,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Brenner Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Variance of Laplacian,laplacian,REF-B_fixed_ten_diagnostic,30,1.9333333333333333,2.0,4.100000000000001,4.833333333333333,5.0,10.250000000000004,0.2148148148148148,0.23333333333333334,0.4666666666666667,axial step verified from official record
TBI,Variance of Laplacian,laplacian,REF-C_fixed_disjoint_four_confirmatory,30,1.9333333333333333,2.0,4.100000000000001,4.833333333333333,5.0,10.250000000000004,0.2148148148148148,0.23333333333333334,0.4666666666666667,axial step verified from official record
TBI,Sum Modified Laplacian,laplacian,REF-B_fixed_ten_diagnostic,30,1.9333333333333333,2.0,4.100000000000001,4.833333333333333,5.0,10.250000000000004,0.2148148148148148,0.23333333333333334,0.4666666666666667,axial step verified from official record
TBI,Sum Modified Laplacian,laplacian,REF-C_fixed_disjoint_four_confirmatory,30,1.9333333333333333,2.0,4.100000000000001,4.833333333333333,5.0,10.250000000000004,0.2148148148148148,0.23333333333333334,0.4666666666666667,axial step verified from official record
TBI,Normalized Variance,statistical,REF-B_fixed_ten_diagnostic,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Energy of Gradient,gradient,REF-B_fixed_ten_diagnostic,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Energy of Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Histogram Entropy,entropy,REF-B_fixed_ten_diagnostic,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
TBI,GLCM Contrast,texture,REF-B_fixed_ten_diagnostic,30,3.2666666666666666,3.5,5.0,8.166666666666666,8.75,12.5,0.362962962962963,0.06666666666666667,0.1,axial step verified from official record
TBI,Variance of Gradient,gradient,REF-B_fixed_ten_diagnostic,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Variance of Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Fourier Transform Sharpness Index,frequency,REF-B_fixed_ten_diagnostic,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,axial step verified from official record
TBI,Fourier High Frequency Energy Ratio,frequency,REF-B_fixed_ten_diagnostic,30,0.6333333333333333,0.0,2.0,1.5833333333333333,0.0,5.0,0.07037037037037037,0.6,0.8333333333333334,axial step verified from official record
TBI,Fourier High Frequency Energy Ratio,frequency,REF-C_fixed_disjoint_four_confirmatory,30,0.6333333333333333,0.0,2.0,1.5833333333333333,0.0,5.0,0.07037037037037037,0.6,0.8333333333333334,axial step verified from official record
TBI,Roberts Focus Measure,gradient,REF-B_fixed_ten_diagnostic,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Roberts Focus Measure,gradient,REF-C_fixed_disjoint_four_confirmatory,30,0.03333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0037037037037037034,0.9666666666666667,1.0,axial step verified from official record
TBI,Wavelet W1,wavelet,REF-B_fixed_ten_diagnostic,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
TBI,Wavelet W1,wavelet,REF-C_fixed_disjoint_four_confirmatory,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
TBI,Wavelet W2,wavelet,REF-B_fixed_ten_diagnostic,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
TBI,Wavelet W2,wavelet,REF-C_fixed_disjoint_four_confirmatory,30,0.1,0.0,0.10000000000000142,0.25,0.0,0.25000000000000355,0.01111111111111111,0.9,1.0,axial step verified from official record
